6	Paraná	PR	1	parana
5	MInas Gerais	MG	1	minas-gerais
4	Rio de Janeiro	RJ	1	rio-de-janeiro
3	São Paulo	SP	1	sao-paulo
2	Santa Catarina	SC	1	santa-catarina
1	Rio Grande do Sul	RS	1	rio-grande-do-sul
7	Acre	AC	1	acre
8	Alagoas	AL	1	alagoas
9	Amazonas	AM	1	amazonas
10	Amapá	AP	1	amapa
11	Bahia	BA	1	bahia
12	Ceará	CE	1	ceara
13	Distrito Federal	DF	1	distrito-federal
14	Espírito Santo	ES	1	espirito-santo
15	Goiás	GO	1	goias
16	Maranhão	MA	1	maranhao
17	Mato Grosso do Sul	MS	1	mato-grosso-do-sul
18	Mato Grosso	MT	1	mato-grosso
19	Pará	PA	1	para
20	Paraíba	PB	1	paraiba
21	Pernambuco	PE	1	pernambuco
22	Piauí	PI	1	piaui
23	Rio Grande do Norte	RN	1	rio-grande-do-norte
24	Rondônia	RO	1	rondonia
25	Roraima	RR	1	roraima
26	Sergipe	SE	1	sergipe
27	Tocantins	TO	1	tocantins
